Test,Session,LapNumber,Driver,Team,LapTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,Position,LapTimeSec,Sector1TimeSec,Sector2TimeSec,Sector3TimeSec
2,1,32.0,BOR,Audi,,0 days 00:01:23.572000,0 days 00:00:44.023000,0 days 00:00:24.061000,219.0,241.0,304.0,191.0,HARD,7.0,False,,,83.572,44.023,24.061
2,1,33.0,BOR,Audi,0 days 00:01:37.635000,0 days 00:00:31.052000,0 days 00:00:43.023000,0 days 00:00:23.560000,220.0,239.0,307.0,300.0,HARD,8.0,False,,97.635,31.052,43.023,23.56
2,1,34.0,BOR,Audi,0 days 00:01:37.615000,0 days 00:00:30.890000,0 days 00:00:42.988000,0 days 00:00:23.737000,220.0,239.0,307.0,306.0,HARD,9.0,False,,97.615,30.89,42.988,23.737
2,1,35.0,BOR,Audi,0 days 00:01:37.684000,0 days 00:00:30.857000,0 days 00:00:43.099000,0 days 00:00:23.728000,220.0,239.0,306.0,307.0,HARD,10.0,False,,97.684,30.857,43.099,23.728
2,1,36.0,BOR,Audi,0 days 00:01:38.329000,0 days 00:00:31.009000,0 days 00:00:43.313000,0 days 00:00:24.007000,219.0,240.0,314.0,306.0,HARD,11.0,False,,98.329,31.009,43.313,24.007
2,1,37.0,BOR,Audi,0 days 00:01:37.961000,0 days 00:00:31.007000,0 days 00:00:43.208000,0 days 00:00:23.746000,220.0,239.0,304.0,315.0,HARD,12.0,False,,97.961,31.007,43.208,23.746
2,1,38.0,BOR,Audi,0 days 00:01:38.124000,0 days 00:00:31.151000,0 days 00:00:43.267000,0 days 00:00:23.706000,220.0,239.0,305.0,301.0,HARD,13.0,False,,98.124,31.151,43.267,23.706
2,1,39.0,BOR,Audi,0 days 00:01:38.047000,0 days 00:00:31.137000,0 days 00:00:43.043000,0 days 00:00:23.867000,220.0,239.0,305.0,301.0,HARD,14.0,False,,98.047,31.137,43.043,23.867
2,1,40.0,BOR,Audi,0 days 00:01:39.978000,0 days 00:00:31.210000,0 days 00:00:44.772000,0 days 00:00:23.996000,220.0,239.0,304.0,300.0,HARD,15.0,False,,99.978,31.21,44.772,23.996
2,1,41.0,BOR,Audi,0 days 00:01:38.521000,0 days 00:00:31.319000,0 days 00:00:43.292000,0 days 00:00:23.910000,219.0,239.0,304.0,300.0,HARD,16.0,False,,98.521,31.319,43.292,23.91
2,1,42.0,BOR,Audi,0 days 00:01:38.495000,0 days 00:00:31.226000,0 days 00:00:43.524000,0 days 00:00:23.745000,219.0,239.0,304.0,298.0,HARD,17.0,False,,98.495,31.226,43.524,23.745
2,1,43.0,BOR,Audi,0 days 00:01:44.323000,0 days 00:00:31.271000,0 days 00:00:45.201000,0 days 00:00:27.851000,223.0,240.0,,298.0,HARD,18.0,False,,104.323,31.271,45.201,27.851
2,1,44.0,BOR,Audi,0 days 00:02:08.792000,0 days 00:00:55.858000,0 days 00:00:44.530000,0 days 00:00:28.404000,219.0,230.0,,209.0,HARD,7.0,False,,128.792,55.858,44.53,28.404
2,1,45.0,BOR,Audi,,,0 days 00:00:45.565000,0 days 00:00:26.831000,216.0,232.0,294.0,126.0,HARD,1.0,True,,,,45.565,26.831
2,1,46.0,BOR,Audi,0 days 00:01:35.511000,0 days 00:00:30.274000,0 days 00:00:41.829000,0 days 00:00:23.408000,223.0,250.0,294.0,323.0,HARD,2.0,True,,95.511,30.274,41.829,23.408
2,1,47.0,BOR,Audi,0 days 00:02:06.220000,0 days 00:00:39.214000,0 days 00:00:58.997000,0 days 00:00:28.009000,134.0,175.0,297.0,258.0,HARD,3.0,True,,126.22,39.214,58.997,28.009
2,1,48.0,BOR,Audi,0 days 00:01:35.754000,0 days 00:00:30.333000,0 days 00:00:41.971000,0 days 00:00:23.450000,223.0,250.0,299.0,321.0,HARD,4.0,True,,95.754,30.333,41.971,23.45
2,1,49.0,BOR,Audi,0 days 00:01:47.863000,0 days 00:00:33.852000,0 days 00:00:44.499000,0 days 00:00:29.512000,222.0,233.0,,234.0,HARD,5.0,True,,107.863,33.852,44.499,29.512
2,1,50.0,BOR,Audi,,0 days 00:01:28.696000,0 days 00:00:43.848000,0 days 00:00:27.143000,219.0,241.0,,145.0,HARD,6.0,False,,,88.696,43.848,27.143
2,1,51.0,BOR,Audi,0 days 00:02:08.249000,0 days 00:01:00.096000,0 days 00:00:44.244000,0 days 00:00:23.909000,215.0,240.0,304.0,159.0,HARD,7.0,False,,128.249,60.096,44.244,23.909
2,1,52.0,BOR,Audi,0 days 00:01:38.415000,0 days 00:00:31.312000,0 days 00:00:43.370000,0 days 00:00:23.733000,219.0,237.0,307.0,298.0,HARD,8.0,False,,98.415,31.312,43.37,23.733
2,1,53.0,BOR,Audi,0 days 00:01:37.842000,0 days 00:00:31.010000,0 days 00:00:43.139000,0 days 00:00:23.693000,220.0,237.0,307.0,303.0,HARD,9.0,False,,97.842,31.01,43.139,23.693
2,1,54.0,BOR,Audi,0 days 00:01:37.896000,0 days 00:00:30.883000,0 days 00:00:43.243000,0 days 00:00:23.770000,221.0,238.0,306.0,302.0,HARD,10.0,False,,97.896,30.883,43.243,23.77
2,1,55.0,BOR,Audi,0 days 00:01:37.939000,0 days 00:00:30.936000,0 days 00:00:43.237000,0 days 00:00:23.766000,221.0,238.0,307.0,305.0,HARD,11.0,False,,97.939,30.936,43.237,23.766
2,1,56.0,BOR,Audi,0 days 00:01:38.151000,0 days 00:00:30.762000,0 days 00:00:43.450000,0 days 00:00:23.939000,220.0,238.0,304.0,304.0,HARD,12.0,False,,98.151,30.762,43.45,23.939
2,1,57.0,BOR,Audi,0 days 00:01:38.406000,0 days 00:00:31.191000,0 days 00:00:43.334000,0 days 00:00:23.881000,220.0,237.0,306.0,301.0,HARD,13.0,False,,98.406,31.191,43.334,23.881
2,1,58.0,BOR,Audi,0 days 00:01:38.530000,0 days 00:00:31.005000,0 days 00:00:43.371000,0 days 00:00:24.154000,220.0,238.0,304.0,303.0,HARD,14.0,False,,98.53,31.005,43.371,24.154
2,1,59.0,BOR,Audi,0 days 00:01:38.614000,0 days 00:00:31.102000,0 days 00:00:43.491000,0 days 00:00:24.021000,220.0,238.0,306.0,301.0,HARD,15.0,False,,98.614,31.102,43.491,24.021
2,1,60.0,BOR,Audi,0 days 00:01:38.846000,0 days 00:00:31.082000,0 days 00:00:43.750000,0 days 00:00:24.014000,221.0,238.0,306.0,301.0,HARD,16.0,False,,98.846,31.082,43.75,24.014
2,1,61.0,BOR,Audi,0 days 00:01:42.568000,0 days 00:00:31.137000,0 days 00:00:43.627000,0 days 00:00:27.804000,220.0,245.0,,304.0,HARD,17.0,False,,102.568,31.137,43.627,27.804
2,1,62.0,BOR,Audi,0 days 00:02:17.755000,0 days 00:01:00.112000,0 days 00:00:46.820000,0 days 00:00:30.823000,211.0,222.0,,122.0,HARD,16.0,False,,137.755,60.112,46.82,30.823
2,1,63.0,BOR,Audi,,,0 days 00:00:46.701000,0 days 00:00:27.008000,214.0,240.0,292.0,113.0,MEDIUM,9.0,False,,,,46.701,27.008
2,1,64.0,BOR,Audi,0 days 00:01:35.263000,0 days 00:00:30.063000,0 days 00:00:41.615000,0 days 00:00:23.585000,223.0,250.0,290.0,330.0,MEDIUM,10.0,False,,95.263,30.063,41.615,23.585
2,1,65.0,BOR,Audi,0 days 00:02:12.488000,0 days 00:00:50.195000,0 days 00:00:54.295000,0 days 00:00:27.998000,131.0,207.0,257.0,190.0,MEDIUM,11.0,False,,132.488,50.195,54.295,27.998
2,1,66.0,BOR,Audi,0 days 00:01:49.042000,0 days 00:00:35.954000,0 days 00:00:46.268000,0 days 00:00:26.820000,161.0,235.0,294.0,254.0,MEDIUM,12.0,False,,109.042,35.954,46.268,26.82
2,1,67.0,BOR,Audi,0 days 00:01:40.179000,0 days 00:00:30.209000,0 days 00:00:45.216000,0 days 00:00:24.754000,223.0,237.0,294.0,324.0,MEDIUM,13.0,False,,100.179,30.209,45.216,24.754
2,1,68.0,BOR,Audi,0 days 00:01:38.164000,0 days 00:00:31.177000,0 days 00:00:43.188000,0 days 00:00:23.799000,220.0,237.0,305.0,300.0,MEDIUM,14.0,False,,98.164,31.177,43.188,23.799
2,1,69.0,BOR,Audi,0 days 00:01:38.270000,0 days 00:00:31.125000,0 days 00:00:43.406000,0 days 00:00:23.739000,219.0,237.0,306.0,295.0,MEDIUM,15.0,False,,98.27,31.125,43.406,23.739
2,1,70.0,BOR,Audi,0 days 00:01:49.216000,0 days 00:00:30.964000,0 days 00:00:43.539000,0 days 00:00:34.713000,220.0,236.0,288.0,303.0,MEDIUM,16.0,False,,109.216,30.964,43.539,34.713
2,1,71.0,BOR,Audi,,,,,,,,216.0,MEDIUM,17.0,False,,,,,
2,2,1.0,BOR,Audi,,,0 days 00:00:47.423000,0 days 00:00:30.812000,217.0,217.0,,189.0,MEDIUM,11.0,False,,,,47.423,30.812
2,2,2.0,BOR,Audi,,,0 days 00:00:47.107000,0 days 00:00:27.260000,216.0,230.0,289.0,171.0,MEDIUM,12.0,False,,,,47.107,27.26
2,2,3.0,BOR,Audi,0 days 00:01:38.025000,0 days 00:00:30.967000,0 days 00:00:42.848000,0 days 00:00:24.210000,218.0,239.0,280.0,322.0,MEDIUM,13.0,False,,98.025,30.967,42.848,24.21
2,2,4.0,BOR,Audi,0 days 00:02:21.634000,0 days 00:00:47.931000,0 days 00:01:05.371000,0 days 00:00:28.332000,96.0,171.0,291.0,179.0,MEDIUM,14.0,False,,141.634,47.931,65.371,28.332
2,2,5.0,BOR,Audi,0 days 00:01:37.510000,0 days 00:00:30.786000,0 days 00:00:42.651000,0 days 00:00:24.073000,218.0,242.0,281.0,316.0,MEDIUM,15.0,False,,97.51,30.786,42.651,24.073
2,2,6.0,BOR,Audi,0 days 00:02:18.435000,0 days 00:00:36.278000,0 days 00:01:13.669000,0 days 00:00:28.488000,159.0,163.0,294.0,275.0,MEDIUM,16.0,False,,138.435,36.278,73.669,28.488
2,2,7.0,BOR,Audi,0 days 00:01:38.080000,0 days 00:00:30.848000,0 days 00:00:43.080000,0 days 00:00:24.152000,218.0,238.0,283.0,316.0,MEDIUM,17.0,False,,98.08,30.848,43.08,24.152
2,2,8.0,BOR,Audi,0 days 00:01:56.317000,0 days 00:00:35.272000,0 days 00:00:50.487000,0 days 00:00:30.558000,191.0,200.0,,260.0,MEDIUM,18.0,False,,116.317,35.272,50.487,30.558
